round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	200	0	RECENT FICTION		In Salman Rushdie's "Quichotte", a spin on this classic novel, a salesman travels the U.S. with his imaginary son Sancho	Don Quixote	2021-09-14	
1	400	0	RECENT FICTION		She said, "Everything you've ever asked me about Gilead and its inner workings" inspired her 2019 sequel "The Testaments\"	(Margaret) Atwood	2021-09-14	
1	600	0	RECENT FICTION		In 2020 this author brought back Mississippi lawyer Jake Brigance for a third go-around in "A Time for Mercy\"	(John) Grisham	2021-09-14	
1	800	0	RECENT FICTION		\"The President's Daughter" is the second political thriller from Bill Clinton & this bestselling author	(James) Patterson	2021-09-14	
1	1000	0	RECENT FICTION		A Hulu series is based on this Sally Rooney novel about Connell & Marianne & their inner struggles	Normal People	2021-09-14	
1	200	0	THE WILD WEST		Though a Wild West icon, this youthful outlaw who also went by Henry McCarty was born on the East Side of New York City	Billy the Kid	2021-09-14	
1	400	7600	THE WILD WEST		Founded in 1876, this South Dakota city was named for the deceased trees found in the area	Deadwood	2021-09-14	
1	600	0	THE WILD WEST		A cavalry bugle at noon on April 22, 1889 began a massive land run in this territory	Oklahoma	2021-09-14	
1	800	0	THE WILD WEST		Get the feel of the West at Old Trail Town in this Wyoming city, developed by & named for a Western hero	Cody	2021-09-14	
1	1000	0	THE WILD WEST		On Oct. 5 1892, Bob, Grat & Emmett, this gang of brothers who ran with Bill Doolin, tried to rob 2 Kansas banks; only Emmett lived	Dalton Gang	2021-09-14	
1	200	0	GAME STOP		This winning declaration in a chess game is from the Arabic for "the king is dead\"	checkmate	2021-09-14	
1	400	0	GAME STOP		In the NFL regular season, overtime games end after nobody scores in the period that's this many minutes long	10	2021-09-14	
1	600	0	GAME STOP		\"Walk-off" began as a term for a play that ends a game in this sport	baseball	2021-09-14	
1	800	0	GAME STOP		The bank cannot go broke in this Parker Brothers game, so exhaustion may be the deciding factor	Monopoly	2021-09-14	
1	1000	0	GAME STOP		A hand in this card game with 2 potent potables in its name comes to a halt after a player "knocks\"	gin rummy	2021-09-14	
1	200	0	HOLIDAYS & OBSERVANCES		The last Monday in March is celebrated as Seward's Day in this state	Alaska	2021-09-14	
1	400	0	HOLIDAYS & OBSERVANCES		The last Friday in April is this tree-planting holiday that predates Earth Day by almost a century	Arbor Day	2021-09-14	
1	600	0	HOLIDAYS & OBSERVANCES		Bob Hope famously quipped, "The Academy Awards, or as it's known at my house," this Jewish holiday	Passover	2021-09-14	
1	800	0	HOLIDAYS & OBSERVANCES		Lunar New Year is called Chunjie in Chinese & this 3-letter name in Vietnamese	Tet	2021-09-14	
1	1000	0	HOLIDAYS & OBSERVANCES		Some light lamps to invite the presence of Lakshmi, the goddess of wealth, during this Hindu festival of lights	Diwali	2021-09-14	
1	200	0	REALITY SHOW WINNERS		Fantasia Barrino, 2004	American Idol	2021-09-14	
1	400	0	REALITY SHOW WINNERS		Jinkx Monsoon, 2013	RuPaul's Drag Race	2021-09-14	
1	600	0	REALITY SHOW WINNERS		T-Pain, 2019	The Masked Singer	2021-09-14	
1	800	0	REALITY SHOW WINNERS		Christian Siriano, 2008	Project Runway	2021-09-14	
1	1000	0	REALITY SHOW WINNERS		Emmitt Smith, 2006	Dancing with the Stars	2021-09-14	
1	200	0	STRUCTURAL IDIOMS		Nonprescription is synonymous with this 3-word phrase	over the counter	2021-09-14	
1	400	0	STRUCTURAL IDIOMS		\"Moving" these structures found on a football field has come to mean changing the rules	goalposts	2021-09-14	
1	600	0	STRUCTURAL IDIOMS		If you "come to" this, you're ready to talk; however, if a subject is "off" it, it is no longer acceptable to discuss	table	2021-09-14	
1	800	0	STRUCTURAL IDIOMS		A hyperbolic expression says a noisy disturbance reaches such a pitch it could do this, right off the house	blow the roof off	2021-09-14	
1	1000	0	STRUCTURAL IDIOMS		This "aqueous" phrase means a problem is in the past & doesn't worry you anymore	water under the bridge	2021-09-14	
2	400	0	17th CENTURY NAMES		His writings gave rise to a type of philosophy called Cartesianism	(René) Descartes	2021-09-14	
2	800	0	17th CENTURY NAMES		World Book says this author & soldier was "known for his skill in sword fighting and for his long nose\"	Cyrano de Bergerac	2021-09-14	
2	1200	0	17th CENTURY NAMES		Around 1665, this Dutchman painted one of his smallest works, "Girl with the Red Hat\"	Vermeer	2021-09-14	
2	1600	0	17th CENTURY NAMES		The "Father of" North America's New France, he also gave his name to a large lake	Champlain	2021-09-14	
